episode_num,date,symbol,resolved_symbol,market,sector,structure,trade_type,status,confidence,strategy,invalidation,horizon_sessions,policy_version,entry_bar_date,entry_price,exit_bar_date,exit_price,pnl_pct,pnl_dollars,stopped_out,nasdaq_return_pct,alpha_pct,void_reason,rules_in_effect,reviewed_in_episode,option_structure,option_expiry,option_strike,option_premium,option_contracts,option_underlying_entry,option_capital_usd,option_premium_received_usd,option_quoted_at,option_quote_source,stop_pct,stop_price,in_current_era
31,2026-04-30,BTC,,UNKNOWN,other,,flash,closed,Medium,Macro rotation play on cross-asset signals,,,,,33.67,,33.81,0.42,4.16,,0.0,0.42,,,0,,,,,,,,,,,,,False
32,2026-05-01,LYB,,NYSE,other,,weekly,closed,Medium,Portfolio realignment play on completed asset sale,,,,,75.97,,71.51,-5.87,-58.71,,0.0,-5.87,,,0,,,,,,,,,,,,,False
33,2026-05-04,CVX,,NYSE,energy,,weekly,closed,Medium,Geopolitical premium play on rising oil prices,,,,,190.85,,182.5,-4.38,-43.75,,2.95,-7.33,,,0,,,,,,,,,,,,,False
34,2026-05-05,CL,,UNKNOWN,other,,weekly,closed,Medium,Geographic expansion play following new dispensary openings and rising state-level footprint,,,,,85.91,,87.36,1.69,16.88,,1.9,-0.21,,,0,,,,,,,,,,,,,False
35,2026-05-06,AMD,,NASDAQ,tech,,weekly,closed,Medium,Momentum play on data center growth and AI infrastructure demand after earnings beat,,,,,360.31,,408.46,13.36,133.63,,-0.13,13.49,,,0,,,,,,,,,,,,,False
36,2026-05-08,SNOW,,NASDAQ,tech,,weekly,closed,Medium,Momentum play on positive intraday price action following recent data-center and cloud demand signals.,,,,,150.16,,150.76,0.4,4.0,,0.0,0.4,,,0,,,,,,,,,,,,,False
38,2026-05-10,HMN,,NYSE,other,,weekly,closed,Medium,Earnings momentum play on record quarterly results and improved ROE,,,,,44.69,,44.89,0.45,4.48,,1.48,-1.03,,,0,,,,,,,,,,,,,False
39,2026-05-11,KGEI,,TSX,energy,,weekly,closed,Medium,Macro rotation play on rising oil prices driven by geopolitical supply risk.,,,,,5.2,,5.45,4.81,48.08,,1.37,3.44,,,0,,,,,,,,,,,,,False
40,2026-05-12,ONON,,NASDAQ,other,,weekly,closed,Medium,Earnings-beat entry after strong China sales growth and top-line outperformance versus Nike.,,,,,35.01,,36.84,5.23,52.27,,2.1,3.13,,,0,,,,,,,,,,,,,False
41,2026-05-13,ACM,,NYSE,other,,weekly,closed,Medium,Infrastructure consulting contract win providing multi-year revenue visibility,,,,,80.09,,71.0,-11.35,-113.5,,0.88,-12.23,,,0,,,,,,,,,,,,,False
44,2026-05-16,APO,,NYSE,financials,,weekly,closed,Medium,Value assessment of insurance-float model trading at 15x adjusted net income with 15% projected organic growth.,,,,,133.32,,130.9,-1.81,-18.14,,0.26,-2.07,,,0,,,,,,,,,,,,,False
47,2026-05-19,HD,,NYSE,other,,weekly,closed,Medium,Earnings-surprise entry after beat and reaffirmed full-year guidance,,,,,299.25,,313.78,4.86,48.55,,1.63,3.23,,,0,,,,,,,,,,,,,False
48,2026-05-20,PYPL,,NASDAQ,other,,flash,closed,Medium,Valuation play on durable free cash flow and aggressive buybacks at depressed multiples.,,,,,44.22,,44.28,0.14,1.36,,0.0,0.14,,,0,,,,,,,,,,,,,False
49,2026-05-21,IBM,,NYSE,other,,flash,closed,Medium,Government-backed quantum computing investment catalyst,,,,,232.58,,252.97,8.77,87.67,,0.0,8.77,,,0,,,,,,,,,,,,,False
50,2026-05-22,CNR,,TSX,industrials,,weekly,closed,Medium,Dividend-growth entry after a multi-year bear-market correction created depressed multiples with visible long-term cash-flow visibility.,,,,,86.46,,93.95,8.66,86.63,,0.0,8.66,,,0,,,,,,,,,,,,,False
53,2026-05-25,GOOGL,,NASDAQ,tech,,weekly,closed,Medium,Valuation-supported entry into AI product cycle using agentic AI roadmap as catalyst.,,,,,384.51,,390.13,1.46,14.62,,2.18,-0.72,,,0,,,,,,,,,,,,,False
54,2026-05-27,TSM,,NYSE,tech,,flash,closed,Medium,Momentum entry on AI-driven earnings visibility and incentive payout increase,,,,,427.02,,422.73,-1.0,-10.05,,0.0,-1.0,,,0,,,,,,,,,,,,,False
55,2026-05-28,DLTR,,NASDAQ,consumer,,weekly,closed,Medium,Earnings revision play on raised full-year guidance and resilient demand for value retail.,,,,,94.08,,113.0,20.11,201.11,,0.0,20.11,,,0,,,,,,,,,,,,,False
56,2026-05-28,SNOW,,NASDAQ,precious_metals,,flash,closed,Medium,Momentum entry on raised revenue forecast plus major AWS partnership.,,,,,237.0,,239.2,0.93,9.28,,0.0,0.93,,,0,,,,,,,,,,,,,False
57,2026-05-29,DELL,,NYSE,other,,weekly,voided,Medium,Momentum entry on raised full-year guidance driven by Nvidia-powered AI server demand.,,,,,,,,,,,,,market_data_unavailable,,,,,,,,,,,,,,,False
62,2026-06-01,NVDA,,NASDAQ,tech,,weekly,closed,Medium,Momentum entry on new Arm-based PC chip launch expanding AI reach into laptops.,,,,,215.48,,218.66,1.48,14.76,,-0.94,2.42,,,0,,,,,,,,,,,,,False
63,2026-06-02,HIMS,,NYSE,other,,weekly,voided,Medium,Acquisition-driven entry on completed Eucalyptus purchase expanding Canadian healthcare platform reach.,,,,,,,,,,,,,market_data_unavailable,,,,,,,,,,,,,,,False
64,2026-06-03,NVO,,NYSE,other,,weekly,closed,Medium,Catalyst entry on first global launch of oral Wegovy outside the U.S.,,,,,45.39,,43.75,-3.61,-36.13,,-0.09,-3.52,,,0,,,,,,,,,,,,,False
70,2026-06-08,LLY,,NYSE,healthcare,,weekly,closed,Medium,Catalyst entry on next-generation obesity drug data extending market leadership.,,,,,1159.0,,1160.95,0.17,1.68,,-0.46,0.63,,,0,,,,,,,,,,,,,False
74,2026-06-12,XLF,,NYSE,other,,weekly,voided,Medium,Catalyst entry on expected trading revenue surge from SpaceX and other mega-IPOs,,,,,,,,,,,,,market_data_unavailable,,,,,,,,,,,,,,,False
75,2026-06-13,KO,,NYSE,other,,weekly,voided,Medium,Defensive positioning against elevated producer prices using a company with demonstrated pricing power.,,,,,,,,,,,,,market_data_unavailable,,,,,,,,,,,,,,,False
77,2026-06-15,ROKU,,NASDAQ,other,,weekly,voided,Medium,M&A spread capture on announced acquisition by Fox Corp.,,,,,,,,,,,,,market_data_unavailable,,,,,,,,,,,,,,,False
79,2026-06-17,ION,,UNKNOWN,other,,weekly,voided,Medium,Leadership-change catalyst play on announced management refresh driving operational focus.,,,,,,,,,,,,,market_data_unavailable,,,,,,,,,,,,,,,False
81,2026-06-19,MDA,,TSX,other,,weekly,closed,Medium,M&A-driven growth play on announced acquisition of U.S. satellite manufacturer.,,,,,40.86,,36.04,-11.8,-117.96,,0.0,-11.8,,,0,,,,,,,,,,,,,False
84,2026-06-22,CRM,,NYSE,tech,,weekly,closed,Medium,Catalyst entry on announced AI fan-engagement partnership with VCARB F1 team.,,,,,150.16,,150.19,0.02,0.2,,-3.09,3.11,,,0,,,,,,,,,,,,,False
87,2026-06-25,MU,,NASDAQ,tech,,flash,closed,Medium,AI momentum entry on earnings-revision catalyst with volume confirmation,,,,,1233.0,,1213.56,-1.58,-15.77,,0.0,-1.58,,,94,,,,,,,,,,,,,False
88,2026-06-26,UBER,,NYSE,other,,weekly,closed,Medium,Analyst-upgrade momentum play on Waymo growth catalyst,,,,,76.0,,74.43,-2.07,-20.66,,0.0,-2.07,,,0,,,,,,,,,,,,,False
89,2026-06-27,UNH,,NYSE,other,,weekly,closed,Medium,Mean-reversion entry on 80% recovery from lows with volume confirmation,,,,,426.53,,425.36,-0.27,-2.74,,2.12,-2.39,,,0,,,,,,,,,,,,,False
91,2026-06-29,MSFT,,NASDAQ,tech,,weekly,closed,Medium,Bond-market proxy play on sustained AI infrastructure spending via equity exposure to the largest issuer of new tech debt.,,,,,377.5,,390.49,3.44,34.41,,0.05,3.39,,,0,,,,,,,,,,,,,False
92,2026-06-30,LLY,,NYSE,healthcare,,weekly,closed,Medium,Policy-driven catalyst entry on expanded Medicare coverage for GLP-1 obesity drugs beginning July 1.,,,,,1222.78,,1213.91,-0.73,-7.25,,-1.45,0.72,,,0,,,,,,,,,,,,,False
93,2026-07-01,GIS,,NYSE,other,,weekly,closed,Medium,Earnings-surprise entry after reported beat and revenue outperformance,,,,,36.21,,37.57,3.76,37.56,,-0.8,4.56,,,95,,,,,,,,,,,,,False
101,2026-07-09,COST,COST,NYSE,consumer,,weekly,closed,Medium,Analyst-reiteration momentum on strong same-store sales data,,,,2026-07-09,934.94,2026-07-09,912.97,-2.35,-23.5,,1.11,-3.46,,LL-054|LL-041|LL-028|LL-017|LL-015,102,,,,,,,,,,,6.0,,False
102,2026-07-10,DAL,DAL,NYSE,other,,weekly,closed,Medium,Earnings-surprise entry on record revenue and margin resilience despite peak fuel costs,,,,2026-07-10,87.94,2026-07-16,86.7,-1.41,-14.1,,-1.12,-0.29,,LL-054|LL-041|LL-028|LL-017|LL-015,109,,,,,,,,,,,6.0,,False
113,2026-07-21,BTC,BTC,UNKNOWN,other,,weekly,voided,Medium,Technical breakout attempt from one-month range on rising momentum.,,,,,,,,,,,,,instrument_scale_mismatch,LL-054|LL-041|LL-028|LL-017|LL-015,,,,,,,,,,,,,64500.0,False
117,2026-07-25,EPD,EPD,NYSE,energy,,weekly,closed,Low,Dividend-compounding entry on a midstream pipeline name with stated momentum into the second half of the year.,,,,2026-07-27,38.68,2026-07-30,38.12,-1.45,-14.48,,-0.45,-1.0,,LL-054|LL-041|LL-028|LL-017|LL-015,123,,,,,,,,,,,,,False
126,2026-08-03,LNTH,LNTH,NASDAQ,healthcare,,weekly,closed,Medium,Catalyst-driven entry on announced merger with Curium creating scale in radiopharmaceuticals,,,,2026-08-03,102.65,2026-08-06,101.07,-1.54,-15.44,,3.52,-5.06,,LL-054|LL-041|LL-028|LL-017|LL-015,138,,,,,,,,,,,8.0,,False
128,2026-08-05,AMD,AMD,NASDAQ,tech,,weekly,closed,Medium,Post-earnings positioning ahead of potential follow-through in AI-related names,,,,2026-08-05,484.5,2026-08-06,489.28,0.99,9.87,,-1.31,2.3,,LL-054|LL-041|LL-028|LL-017|LL-015,130,,,,,,,,,,,,,False
130,2026-08-07,MU,MU,NASDAQ,tech,,weekly,closed,Medium,Valuation screen on memory-chip names spared the worst of sector selling,,,,2026-08-07,903.6,2026-08-13,949.83,5.12,51.16,,1.01,4.11,,LL-054|LL-041|LL-028|LL-017|LL-015,139,,,,,,,,,,,8.0,,False
131,2026-08-08,TBBK,TBBK,NASDAQ,other,,weekly,closed,Medium,Earnings-driven entry on record profitability and raised guidance in fintech lending,,,,2026-08-10,68.93,2026-08-13,69.14,0.3,3.05,,0.46,-0.16,,LL-054|LL-041|LL-028|LL-017|LL-015,140,,,,,,,,,,,,,False
133,2026-08-10,IPCO.TO,IPCO.TO,TSX,other,,weekly,closed,Low,Buyback-supported entry on announced normal-course issuer bid,,,,2026-08-10,31.38,2026-08-13,32.04,2.1,21.03,,0.46,1.64,,LL-054|LL-041|LL-028|LL-017|LL-015,141,,,,,,,,,,,,,False
134,2026-08-11,AAPL,AAPL,NASDAQ,tech,,weekly,closed,Medium,Catalyst-driven entry on confirmed product redesign timeline,,,,2026-08-11,307.75,2026-08-13,305.26,-0.81,-8.09,,0.49,-1.3,,LL-054|LL-041|LL-028|LL-017|LL-015,142,,,,,,,,,,,,,False
135,2026-08-12,X.TO,X.TO,TSX,other,,weekly,closed,Medium,Earnings and dividend-hike catalyst entry,,,,2026-08-12,53.03,2026-08-13,54.06,1.94,19.42,,0.46,1.48,,LL-054|LL-041|LL-028|LL-017|LL-015,137,,,,,,,,,,,6.0,,False
139,2026-08-16,BNS.TO,BNS.TO,TSX,other,,weekly,voided,Medium,Earnings-beat entry on valuation reset after better-than-expected results,,,,,,,,,,,,,market_data_unavailable,LL-054|LL-041|LL-028|LL-017|LL-015,,,,,,,,,,,,6.0,,False
140,2026-08-17,QEC.TO,QEC.TO,TSX,energy,,weekly,closed,Medium,Catalyst entry on Quebec gas policy progress and HCCO technology updates,,,,2026-08-17,0.27,2026-08-21,0.26,-3.7,-37.04,,-2.26,-1.44,,LL-054|LL-041|LL-028|LL-017|LL-015,146,,,,,,,,,,,,,False
141,2026-08-18,NFI.TO,NFI.TO,TSX,other,,weekly,closed,Medium,Catalyst-driven entry on domestic demand recovery narrative for transit equipment,"If Canadian transit orders in the next quarterly fall below the prior-year level, the demand thesis is dead.",5,2,2026-08-18,24.08,2026-08-24,22.29,-7.43,-74.34,,-1.39,-6.04,,LL-066|LL-054|LL-041|LL-028|LL-017,149,,,,,,,,,,,,,True
142,2026-08-19,MFC.TO,MFC.TO,TSX,other,,flash,closed,Medium,Dividend-strength entry on growing capital confidence and sector rotation into Canadian financials,A close below the 50-day moving average on volume above the 20-day average would invalidate the rotation thesis.,1,2,2026-08-19,61.24,2026-08-19,60.06,-1.93,-19.27,,-0.24,-1.69,,LL-066|LL-054|LL-041|LL-028|LL-017,143,,,,,,,,,,,3.0,,True
144,2026-08-20,TLG,TLG.TO,TSX,other,long_equity,weekly,closed,Medium,High-grade extension drilling results 400 m beyond current resource pit shell,Failure of subsequent holes to intersect comparable grades or widths within the extension zone,5,2,2026-08-20,2.05,2026-08-26,2.31,12.68,126.83,,-0.31,12.99,,LL-002|LL-067|LL-066|LL-041,151,,,,,,,,,,,8.0,,True
145,2026-08-21,EQB.TO,EQB.TO,TSX,financials,long_equity,weekly,closed,Medium,Valuation screen on a Canadian bank trading at a discount to sector peers despite stable growth backdrop,EQB.TO closes below its 50-day moving average on daily volume above the 20-day average,5,2,2026-08-21,133.19,2026-08-27,125.5,-5.77,-57.74,,0.79,-6.56,,LL-067|LL-066|LL-041|LL-028,152,,,,,,,,,,,,,True
146,2026-08-22,MSFT,MSFT,NASDAQ,tech,long_equity,weekly,closed,Medium,Catalyst-driven entry on confirmed first production delivery of next-generation Nvidia chips to Microsoft data centers,Any public statement from Microsoft or Nvidia that the Vera Rubin rollout timeline has slipped beyond the current quarter,5,2,2026-08-24,483.21,2026-08-28,513.53,6.27,62.75,,1.29,4.98,,LL-066|LL-041|LL-028|LL-002,154,,,,,,,,,,,,,True
147,2026-08-23,WCP.TO,WCP.TO,TSX,other,long_equity,weekly,closed,Medium,Guidance-boost entry on raised production targets and stronger cash-flow outlook,Next quarterly report shows production or cash-flow guidance revised lower than the current update,5,2,2026-08-24,17.99,2026-08-28,17.85,-0.78,-7.78,,1.29,-2.07,,LL-041|LL-028|LL-002|LL-067,155,,,,,,,,,,,,,True
148,2026-08-24,ALK,ALK.TO,TSX,other,long_equity,weekly,closed,Medium,Catalyst entry on new high-grade domain discovery at Cuffley Lode,Drill results from the Sub-KC domain fail to extend the new high-grade zone beyond the initial intercept widths reported.,5,2,2026-08-24,1.86,2026-08-28,1.85,-0.54,-5.38,,1.29,-1.83,,LL-028|LL-002|LL-067|LL-066,156,,,,,,,,,,,8.0,,True
149,2026-08-25,GMIN.TO,GMIN.TO,TSX,other,long_equity,flash,closed,Medium,Earnings-surprise entry after strong Q2 results and reaffirmed guidance,Any intraday reversal below the session low on volume exceeding the 20-day average would invalidate the earnings-driven thesis.,1,2,2026-08-25,54.47,2026-08-25,56.33,3.41,34.15,,0.01,3.4,,LL-002|LL-067|LL-066|LL-041,150,,,,,,,,,,,,,True
150,2026-08-26,HPS.A,,TSX,other,long_equity,flash,open,Medium,Valuation entry on pullback into data-centre infrastructure spending,The thesis fails if quarterly revenue guidance from data-centre customers falls below the prior quarter's run rate.,1,2,,,,,,,,,,,LL-067|LL-066|LL-041|LL-028,,,,,,,,,,,,,,True
151,2026-08-27,PNG.V,PNG.V,TSX-V,other,long_equity,flash,closed,Medium,Earnings-surprise entry on Q2 results with project momentum,Any close below the pre-release low of the prior session,1,2,2026-08-27,5.72,2026-08-27,5.4,-5.59,-55.94,,0.7,-6.29,,LL-066|LL-041|LL-028|LL-002,153,,,,,,,,,,,,,True
